,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,spaceID,stationID,userID,payment,provider,pricePolicy,costPerKWh,totalCost,operator
0,AB00000,2020-10-02 05:24:44,2020-10-02 05:26:56,2020-10-02 05:26:54,20.24,0008-214-0001-0005,0008-214-0001,12583-28329,cash,AlterBase---Sorégies-(FR),large,1.1,22.264,AlterBase---Sorégies-(FR)
1,AB00001,2020-04-24 11:12:23,2020-04-24 11:20:06,2020-04-24 11:12:28,20.44,0003-214-0002-0000,0003-214-0002,12546-28329,card,Alfapower-(UK),l,1.13,23.0972,Alfapower-(UK)
2,AB00002,2020-11-27 08:45:11,2020-11-27 09:27:39,2020-11-27 09:15:45,4.0,0000-214-0000-0006,0000-214-0000,12651-28329,card,AAE,l,0.76,3.04,AAE
3,AB00003,2020-03-07 19:32:50,2020-03-07 19:56:59,2020-03-07 19:54:47,29.68,0009-214-0000-0000,0009-214-0000,12381-28329,cash,AMB-(Àrea-metropolitana-de-Barcelona),l,0.93,27.602400000000003,AMB-(Àrea-metropolitana-de-Barcelona)
4,AB00004,2021-02-05 18:57:34,2021-02-05 19:50:17,2021-02-05 19:22:21,26.88,0002-214-0001-0001,0002-214-0001,12510-28329,card,AGSM-Electrify-Verona,l,0.98,26.342399999999998,AGSM-Electrify-Verona
5,AB00005,2020-09-25 17:35:46,2020-09-25 18:01:05,2020-09-25 17:53:43,15.6,0000-214-0000-0005,0000-214-0000,12473-28329,cash,AAE,l,1.26,19.656,AAE
6,AB00006,2020-12-17 13:27:35,2020-12-17 14:03:35,2020-12-17 13:38:40,38.8,0003-214-0001-0004,0003-214-0001,12694-28329,card,Alfapower-(UK),l,0.92,35.696,Alfapower-(UK)
7,AB00007,2021-03-03 12:14:54,2021-03-03 12:32:11,2021-03-03 12:23:05,17.24,0003-214-0001-0005,0003-214-0001,12539-28329,card,Alfapower-(UK),l,1.12,19.3088,Alfapower-(UK)
8,AB00008,2020-08-16 11:08:38,2020-08-16 11:27:10,2020-08-16 11:21:37,7.76,0007-214-0000-0007,0007-214-0000,12461-28329,cash,Allego-BV,l,1.48,11.4848,Allego-BV
9,AB00009,2020-06-25 07:29:02,2020-06-25 07:42:53,2020-06-25 07:38:30,37.56,0005-214-0000-0005,0005-214-0000,12461-28329,cash,Alizé,l,1.38,51.8328,Alizé
10,AB00010,2020-02-14 01:26:51,2020-02-14 02:00:57,2020-02-14 01:51:32,38.52,0008-214-0000-0001,0008-214-0000,12355-28329,card,AlterBase---Sorégies-(FR),l,0.7,26.964000000000002,AlterBase---Sorégies-(FR)
11,AB00011,2020-12-01 23:32:48,2020-12-01 23:51:45,2020-12-01 23:49:05,23.12,0009-214-0001-0003,0009-214-0001,12640-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,1.45,33.524,AMB-(Àrea-metropolitana-de-Barcelona)
12,AB00012,2020-10-31 08:28:54,2020-10-31 08:43:49,2020-10-31 08:31:00,10.32,0009-214-0000-0003,0009-214-0000,12623-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,1.17,12.074399999999999,AMB-(Àrea-metropolitana-de-Barcelona)
13,AB00013,2020-07-18 18:28:42,2020-07-18 19:02:17,2020-07-18 19:00:18,25.52,0005-214-0000-0006,0005-214-0000,12546-28329,cash,Alizé,l,1.04,26.5408,Alizé
14,AB00014,2020-07-22 14:55:58,2020-07-22 15:16:31,2020-07-22 15:05:50,22.6,0008-214-0001-0005,0008-214-0001,12538-28329,card,AlterBase---Sorégies-(FR),l,1.29,29.154000000000003,AlterBase---Sorégies-(FR)
15,AB00015,2020-12-27 04:33:09,2020-12-27 05:06:56,2020-12-27 05:06:55,10.0,0000-214-0000-0005,0000-214-0000,12680-28329,card,AAE,l,0.96,9.6,AAE
16,AB00016,2020-04-20 17:16:27,2020-04-20 17:42:54,2020-04-20 17:30:25,17.64,0007-214-0001-0001,0007-214-0001,12433-28329,cash,Allego-BV,l,1.16,20.4624,Allego-BV
17,AB00017,2020-07-17 08:15:20,2020-07-17 08:29:33,2020-07-17 08:25:45,22.88,0008-214-0000-0001,0008-214-0000,12515-28329,card,AlterBase---Sorégies-(FR),l,0.95,21.735999999999997,AlterBase---Sorégies-(FR)
18,AB00018,2020-07-13 19:14:35,2020-07-13 20:02:57,2020-07-13 19:31:19,37.12,0004-214-0000-0003,0004-214-0000,12362-28329,cash,Alfen,l,0.72,26.726399999999998,Alfen
19,AB00019,2021-01-17 18:01:45,2021-01-17 18:20:09,2021-01-17 18:17:18,10.92,0004-214-0000-0001,0004-214-0000,12445-28329,card,Alfen,l,1.17,12.776399999999999,Alfen
20,AB00020,2020-03-30 02:38:32,2020-03-30 03:17:55,2020-03-30 03:07:30,7.28,0002-214-0000-0001,0002-214-0000,12620-28329,card,AGSM-Electrify-Verona,l,1.45,10.556,AGSM-Electrify-Verona
21,AB00021,2020-08-07 04:21:38,2020-08-07 05:42:05,2020-08-07 05:29:27,19.92,0000-214-0000-0003,0000-214-0000,12586-28329,cash,AAE,l,0.95,18.924,AAE
22,AB00022,2020-07-04 05:50:02,2020-07-04 06:57:31,2020-07-04 06:19:22,25.76,0004-214-0000-0001,0004-214-0000,12479-28329,card,Alfen,l,0.95,24.472,Alfen
23,AB00023,2020-10-28 09:13:56,2020-10-28 10:21:09,2020-10-28 09:53:02,6.84,0008-214-0001-0003,0008-214-0001,12399-28329,cash,AlterBase---Sorégies-(FR),l,0.93,6.3612,AlterBase---Sorégies-(FR)
24,AB00024,2020-02-01 20:29:44,2020-02-01 20:33:45,2020-02-01 20:31:58,20.0,0002-214-0001-0000,0002-214-0001,12391-28329,card,AGSM-Electrify-Verona,l,0.83,16.599999999999998,AGSM-Electrify-Verona
25,AB00025,2020-06-17 04:12:40,2020-06-17 05:34:53,2020-06-17 05:22:35,16.36,0007-214-0000-0003,0007-214-0000,12623-28329,card,Allego-BV,l,1.11,18.1596,Allego-BV
26,AB00026,2020-07-21 19:55:18,2020-07-21 20:56:33,2020-07-21 20:25:29,36.64,0009-214-0000-0000,0009-214-0000,12405-28329,cash,AMB-(Àrea-metropolitana-de-Barcelona),l,1.02,37.3728,AMB-(Àrea-metropolitana-de-Barcelona)
27,AB00027,2020-07-14 00:38:39,2020-07-14 01:53:23,2020-07-14 01:24:30,17.88,0003-214-0002-0001,0003-214-0002,12475-28329,card,Alfapower-(UK),l,1.43,25.568399999999997,Alfapower-(UK)
28,AB00028,2020-09-23 10:04:43,2020-09-23 10:27:10,2020-09-23 10:08:47,18.12,0002-214-0000-0000,0002-214-0000,12491-28329,cash,AGSM-Electrify-Verona,l,1.28,23.1936,AGSM-Electrify-Verona
29,AB00029,2021-01-13 19:13:34,2021-01-13 20:18:32,2021-01-13 20:15:04,15.8,0002-214-0001-0001,0002-214-0001,12534-28329,cash,AGSM-Electrify-Verona,l,1.1,17.380000000000003,AGSM-Electrify-Verona
30,AB00030,2020-08-10 17:04:26,2020-08-10 17:56:02,2020-08-10 17:22:27,32.2,0006-214-0000-0004,0006-214-0000,12648-28329,card,Alizé-Liberté,l,0.99,31.878000000000004,Alizé-Liberté
